alimento_sipsa,beta,beta_se,beta_ci_lo,beta_ci_hi,statistic,p.value
Aguacate papelillo,0.8166229245244679,0.13852574731560036,0.5451124597858912,1.0881333892630447,5.895098495039862,5.621855923245115e-7
Ahuyama,0.5224296992851937,0.06006843984286854,0.40469555719317135,0.640163841377216,8.697241024601336,4.4522741280826494e-14
Arracacha amarilla,0.6865151783227587,0.0752072587102509,0.5391089512506669,0.8339214053948504,9.128310087297269,3.1538853841138644e-12
Arroz de primera,0.8573626303086188,0.04289878543579293,0.7732810108544647,0.941444249762773,19.985708723428605,1.7083961244188983e-25
Arveja verde en vaina pastusa,0.7631188499257597,0.07619168403275689,0.6137831492215562,0.9124545506299633,10.015776125878437,1.7666281505877981e-7
Avena en hojuelas,1.0404057447113022,0.05449494604254653,0.933595650467911,1.1472158389546934,19.091784105979535,1.2980598398280452e-24
Avena molida,1.4730169250599054,0.05582323079246876,1.3636033927066666,1.5824304574131443,26.38716720886448,5.204897114620761e-31
Azúcar morena,0.9805965180281044,0.026518046247403143,0.9286211473831942,1.0325718886730146,36.97846021081332,2.101325552368335e-31
Azúcar sulfitada,0.8253923591093306,0.08299220245272547,0.6627276423019887,0.9880570759166726,9.945420590319864,1.932185188468886e-13
Banano criollo,0.689972696257219,0.062187673665719395,0.568084855872409,0.8118605366420291,11.095007347695056,4.3435701403223606e-15
Bocachico importado congelado,1.587751981427156,0.05135110588782423,1.4871038138870205,1.6884001489672913,30.91952848874526,2.951428927191119e-34
Café molido,-0.31215424718492196,0.1668463354675382,-0.6391730647012968,0.014864570331452887,-1.8709086196601246,0.06721557436535452
"Carne de cerdo, costilla",0.5563406251937199,0.08143694999887424,0.39672420319592633,0.7159570471915133,6.83155036137049,1.1010694614119593e-8
"Carne de cerdo, espinazo",0.24270967347511951,0.08653830480713041,0.07309459605314392,0.4123247508970951,2.804650195263834,0.007155128891952384
"Carne de res, cadera",0.9053847003855184,0.036594748257087376,0.8336589938016272,0.9771104069694097,24.740836964499977,1.882047597346388e-27
"Carne de res, falda",1.2158590138682899,0.054098851328923975,1.109825265263599,1.3218927624729808,22.47476580372845,8.602629200701416e-28
"Carne de res, lomo de brazo",0.5370355065915352,0.05321594171589725,0.43273226082837657,0.6413387523546938,10.091628359385137,3.698048579647915e-11
"Carne de res, pecho",0.6243895014894355,0.030786066811480946,0.5640488105389329,0.6847301924399382,20.281561308656162,8.868818489280923e-26
"Carne de res, punta de anca",0.7665632659699273,0.04105180297589416,0.6861017321371747,0.8470247998026799,18.673071836091033,5.566195116383371e-15
Cebolla cabezona blanca,1.9314557354567647,NA,NA,NA,NA,NA
Cebolla cabezona blanca bogotana,0.8138325658303074,0.10181518505439241,0.6142748031236982,1.0133903285369166,7.993233675266967,2.60718356850609e-10
Cebolla cabezona blanca pastusa,0.7241104746621988,0.10894412988809322,0.510579980081536,0.9376409692428616,6.6466222219223825,3.775212847532611e-8
Curuba,0.5566473328030399,0.0998840364932748,0.3608746212762213,0.7524200443298585,5.5729358999275025,1.0009960522940376e-6
Habichuela,0.8093489935386067,0.0988287818822533,0.6156445810493902,1.0030534060278231,8.189405739138646,4.464212624628611e-13
Harina de trigo,0.8520035300407823,0.027575554901265134,0.7979554424343027,0.9060516176472619,30.897058394342352,6.073009893259455e-32
Harina precocida de maíz,0.34525119231907414,0.039807763860762284,0.26722797515198005,0.42327440948616823,8.67296122250618,1.541515336677268e-11
Huevo blanco AA,0.01640241300955822,0.005394342143346032,0.005829502408599998,0.026975323610516442,3.040669756142691,0.20227487022541824
Huevo blanco extra,0.5809023610597958,0.026049387716042892,0.5298455611363517,0.6319591609832398,22.300038964141894,6.339927032987428e-19
Huevo rojo A,0.6067643050013305,0.02698490822667655,0.5538738848770445,0.6596547251256165,22.485320309575844,8.420469997063467e-28
Huevo rojo AA,0.6322859918616316,0.025736526082866418,0.58184240073921345,0.6827295829840497,24.567651042949556,1.4415601870904543e-29
Leche en polvo,1.4668992743257128,0.7594479236280148,-0.0216186559851963,2.955417204636622,1.9315337216514856,0.0561923135939525
Lechuga Batavia,0.4999683848802271,0.10998961634521488,0.28438873684360594,0.7155480329168482,4.545596225292937,1.4717283896633495e-5
Lenteja importada,0.9780722350214409,0.018299513895645707,0.9422051877859753,1.0139392822569064,53.447989962955745,1.5341285859688017e-39
Limón Tahití,0.5729909598306434,0.10217073522951606,0.37273631878079194,0.7732456008804949,5.6081710535162355,9.89036878048775e-7
Lomitos de atún en lata,1.6247224787352146,0.10318468025538396,1.422480505434662,1.826964452035767,15.745772286292857,5.127734086032976e-21
Mango de azúcar,0.15564924966083307,0.14861553860684049,-0.1356372060085743,0.4469357053302404,1.0473282344492936,0.3196022188623119
Manzana roja importada,0.8946349637974045,0.044496587840246744,0.8074216516305208,0.9818482759642881,20.105698149470587,1.3083287799916769e-25
Manzana royal gala importada,0.8935968227503674,0.05431916902343204,0.7871312514644406,1.0000623940362943,16.45085590990706,8.122533228907402e-22
Manzana verde importada,0.6224289978279335,0.04710951685436302,0.5300943447933819,0.7147636508624851,13.212383386400354,6.211725158482287e-18
Maracuyá,0.9682989810945535,0.14199972692566518,0.6899795163202498,1.2466184458688572,6.819020022492325,1.1519277611366101e-8
Mora de Castilla,1.0269252576342547,0.192804712153705,0.6490280218129929,1.4048224934555165,5.326245640799401,2.3873245939744667e-6
Naranja Valencia,0.48893435519260803,0.12271978369620795,0.24840357914804045,0.7294651312371756,3.9841526807361554,2.959772995799619e-4
Naranja común,0.46086237636388694,0.16279908405875063,0.14177617160873573,0.7799485811190381,2.8308659046114277,0.011530640692409328
Panela redonda morena,0.8261433343867719,0.04695941808283771,0.73410287494441,0.9181837938291338,17.5927080895558,5.466991588704071e-21
Papa Morasurco,-0.2898597621865297,NA,NA,NA,NA,NA
Papa R-12 negra,0.7663836681540632,0.2035825346836327,0.36736190017414316,1.1654054361339834,3.7644863266145285,0.0016951264580097772
Papa capira,0.7834930629845427,0.12873187670716646,0.5311785846384964,1.035807541330589,6.086239733510588,1.607473775765275e-7
Papa criolla limpia,0.6985859449466587,0.13238727453648097,0.43910688685515603,0.9580650030381614,5.2768360659479745,2.974208155652868e-6
Papa criolla sucia,0.5707475548140364,0.10416348198724512,0.366587130119036,0.7749079795090368,5.479344045775321,1.732512089413602e-6
Papa nevada,2.027724489335936,0.46075446185066465,1.124645744108633,2.9308032345632387,4.400878683174082,7.165004702911514e-4
Papa parda pastusa,0.697653531630714,0.11725266994765882,0.4678382985333027,0.9274687647281252,5.950001240416479,2.6174265040246505e-7
Papa suprema,0.6578823039920362,0.126213497158775,0.4105038495608372,0.9052607584232352,5.212456027301331,3.5546971414557047e-6
Papa única,0.5078719447204908,0.09778649471377997,0.31621041508148207,0.6995334743594995,5.193681869945605,3.9684525104356105e-6
Pastas alimenticias,-0.0433159715944706,0.16932075248984926,-0.37518464647457517,0.288552703285634,-0.2558219884893754,0.798613780083613
Pechuga de pollo,0.6368981544620842,0.035709335194159614,0.5669078574815314,0.706888451442637,17.835620601703365,2.5439530469028218e-23
Piña gold,0.46894496015103276,0.131581147259713,0.21104591152199526,0.7268440087800703,3.563922111314593,8.14597621159495e-4
Piña manzana,0.9985086237786418,0.08834969309105789,0.82534322532016835,1.1716740222371151,11.30177806899143,2.2337020348122992e-15
Pollo entero congelado sin vísceras,1.0086201169619802,0.06663772547211676,0.8780101750366314,1.139230058887329,15.135872507893707,2.6412530254569528e-20
Queso campesino,0.9545249792374514,0.0596904451398917,0.8375317067632637,1.071518251711639,15.991252486062182,2.682829076282033e-21
Repollo blanco,0.5029701487838469,0.06024772688253989,0.38488460409406877,0.6210556934736251,8.348367229927979,5.123661446773819e-15
Sal yodada,1.2513739505879387,0.08437013242762587,1.086008491029792,1.4167394101460853,14.831954325322275,6.07521847109954e-20
Tilapia roja entera congelada,0.871932348466333,0.0537210811952426,0.7666390293236576,0.9772256676090085,16.2307297073453,1.435346764615011e-21
Tomate larga vida,0.9311290395777022,0.15352018120048802,0.6302294844247457,1.2320285947306586,6.065189816065318,7.088833472780925e-7
Zanahoria,0.3290188767283678,0.05429373975388542,0.2226031468107524,0.4354346066459832,6.059978152542389,9.617463846031369e-9
Lulo,1.2067997549497156,0.14426066554247877,0.9240488504864572,1.489550659412974,8.365410976108128,7.295388374334193e-11
Papa roja peruana,1.3270671675523475,NA,NA,NA,NA,NA
Tomate de árbol,0.5290624672500446,0.16753133232180575,0.20070105589930531,0.8574238786007838,3.1579911645051855,0.0027192005273809277
"Carne de res, lomo fino",-14.207956183480354,NA,NA,NA,NA,NA
Arveja verde seca importada,0.8583769706838188,0.09371057303247882,0.6747042475401603,1.0420496938274773,9.159873244893262,1.854595749320827e-10
Fríjol verde cargamanto,0.8434448328892854,0.11650629087165636,0.6150925027808389,1.0717971629977319,7.239478886324057,1.7641954304369808e-7
Huevo rojo extra,0.8718654352845301,0.06063762742840938,0.7530156855248478,0.9907151850442124,14.378290712542816,1.005606085677193e-16
Naranja Sweet,-0.05718439723994188,0.21819527213419376,-0.48484713062296164,0.37047833614307785,-0.26207899319089056,0.7946760512278837
Papa Betina,0.42199709173344707,0.15777663748339124,0.11275488226600022,0.731239301200894,2.6746487849182974,0.011072522004333885
Mango común,0.8913246563459832,0.31308250846035157,0.2776829397636942,1.5049663729282723,2.846932141719631,0.008694466908819197
Cebolla cabezona roja importada,0.15421037386108422,0.19561845576931278,-0.22920179944676883,0.5376225471689373,0.7883222125162878,0.44464634016762206
Cebolla cabezona blanca importada,0.5825709695435929,0.19005716521248456,0.21005892572712315,0.9550830133600626,3.0652407600222626,0.009031190662982518
Limón común,NA,NA,NA,NA,NA,NA
Tomate chonto,NA,NA,NA,NA,NA,NA
