"ciudad","trimestre","model","n_deciles","incidence"
"BOGOTÁ D.C.","2018Q1","CoCA",10,1.23595505617978
"BOGOTÁ D.C.","2018Q1","CoNA",10,4.9438202247191
"BOGOTÁ D.C.","2018Q2","CoCA",10,1.0431654676259
"BOGOTÁ D.C.","2018Q2","CoNA",10,4.13669064748201
"BOGOTÁ D.C.","2018Q3","CoCA",10,0.601503759398496
"BOGOTÁ D.C.","2018Q3","CoNA",10,3.83458646616541
"BOGOTÁ D.C.","2018Q4","CoCA",10,0.97165991902834
"BOGOTÁ D.C.","2018Q4","CoNA",10,3.4412955465587
"BOGOTÁ D.C.","2019Q1","CoCA",10,1.37931034482759
"BOGOTÁ D.C.","2019Q1","CoNA",10,4.6360153256705
"BOGOTÁ D.C.","2019Q2","CoCA",10,0.977443609022556
"BOGOTÁ D.C.","2019Q2","CoNA",10,3.64661654135338
"BOGOTÁ D.C.","2019Q3","CoCA",10,0.778210116731518
"BOGOTÁ D.C.","2019Q3","CoNA",10,3.81322957198444
"BOGOTÁ D.C.","2019Q4","CoCA",10,0.931174089068826
"BOGOTÁ D.C.","2019Q4","CoNA",10,3.92712550607287
"BOGOTÁ D.C.","2020Q1","CoCA",10,2.03921568627451
"BOGOTÁ D.C.","2020Q1","CoNA",10,5.92156862745098
"BOGOTÁ D.C.","2020Q2","CoCA",10,9.9
"BOGOTÁ D.C.","2020Q2","CoNA",10,17.288740245262
"BOGOTÁ D.C.","2020Q3","CoCA",10,5.66109205260149
"BOGOTÁ D.C.","2020Q3","CoNA",10,12.6307890222985
"BOGOTÁ D.C.","2020Q4","CoCA",10,2.04724409448819
"BOGOTÁ D.C.","2020Q4","CoNA",10,7.16535433070866
"BOGOTÁ D.C.","2021Q1","CoCA",10,3.25396825396825
"BOGOTÁ D.C.","2021Q1","CoNA",10,8.76984126984127
"BOGOTÁ D.C.","2021Q2","CoCA",10,2.84584980237154
"BOGOTÁ D.C.","2021Q2","CoNA",10,8.65612648221344
"BOGOTÁ D.C.","2021Q3","CoCA",10,2.07171314741036
"BOGOTÁ D.C.","2021Q3","CoNA",10,7.13147410358566
"BOGOTÁ D.C.","2021Q4","CoCA",10,2.02643171806167
"BOGOTÁ D.C.","2021Q4","CoNA",10,6.82819383259912
"BOGOTÁ D.C.","2022Q1","CoCA",10,2.22672064777328
"BOGOTÁ D.C.","2022Q1","CoNA",10,7.61133603238866
"BOGOTÁ D.C.","2022Q2","CoCA",10,2.13991769547325
"BOGOTÁ D.C.","2022Q2","CoNA",10,7.07818930041152
"BOGOTÁ D.C.","2022Q3","CoCA",10,1.46341463414634
"BOGOTÁ D.C.","2022Q3","CoNA",10,7.60162601626016
"BOGOTÁ D.C.","2022Q4","CoCA",10,1.95555555555556
"BOGOTÁ D.C.","2022Q4","CoNA",10,8.8
"BOGOTÁ D.C.","2023Q1","CoCA",10,2.00873362445415
"BOGOTÁ D.C.","2023Q1","CoNA",10,8.52811614188309
"BOGOTÁ D.C.","2023Q2","CoCA",10,1.89075630252101
"BOGOTÁ D.C.","2023Q2","CoNA",10,7.14285714285714
"BOGOTÁ D.C.","2023Q3","CoCA",10,2.02479338842975
"BOGOTÁ D.C.","2023Q3","CoNA",10,6.77685950413223
"BOGOTÁ D.C.","2023Q4","CoCA",10,2.13333333333333
"BOGOTÁ D.C.","2023Q4","CoNA",10,6.84444444444444
"BOGOTÁ D.C.","2024Q1","CoCA",10,1.39917695473251
"BOGOTÁ D.C.","2024Q1","CoNA",10,5.51440329218107
"BOGOTÁ D.C.","2024Q2","CoCA",10,1.06122448979592
"BOGOTÁ D.C.","2024Q2","CoNA",10,4.6530612244898
"BOGOTÁ D.C.","2024Q3","CoCA",10,1.75298804780877
"BOGOTÁ D.C.","2024Q3","CoNA",10,4.9003984063745
"BOGOTÁ D.C.","2024Q4","CoCA",10,0.954356846473029
"BOGOTÁ D.C.","2024Q4","CoNA",10,4.10788381742739
"CALI","2018Q1","CoCA",10,0.901287553648069
"CALI","2018Q1","CoNA",10,3.94849785407725
"CALI","2018Q2","CoCA",10,1.22881355932203
"CALI","2018Q2","CoNA",10,4.02542372881356
"CALI","2018Q3","CoCA",10,1.80327868852459
"CALI","2018Q3","CoNA",10,5.73770491803279
"CALI","2018Q4","CoCA",10,1.47186147186147
"CALI","2018Q4","CoNA",10,4.32900432900433
"CALI","2019Q1","CoCA",10,1.8595041322314
"CALI","2019Q1","CoNA",10,5.57851239669421
"CALI","2019Q2","CoCA",10,1.41666666666667
"CALI","2019Q2","CoNA",10,4.54166666666667
"CALI","2019Q3","CoCA",10,1.23456790123457
"CALI","2019Q3","CoNA",10,4.11522633744856
"CALI","2019Q4","CoCA",10,1.99152542372881
"CALI","2019Q4","CoNA",10,5.21186440677966
"CALI","2020Q1","CoCA",10,2.85714285714286
"CALI","2020Q1","CoNA",10,6.17511520737327
"CALI","2020Q2","CoCA",10,10.5488777789597
"CALI","2020Q2","CoNA",10,18.5235613232635
"CALI","2020Q3","CoCA",10,4.48430493273543
"CALI","2020Q3","CoNA",10,12.0179372197309
"CALI","2020Q4","CoCA",10,2.41666666666667
"CALI","2020Q4","CoNA",10,7.75
"CALI","2021Q1","CoCA",10,1.95744680851064
"CALI","2021Q1","CoNA",10,6.42553191489362
"CALI","2021Q2","CoCA",10,2.92792792792793
"CALI","2021Q2","CoNA",10,9.5045045045045
"CALI","2021Q3","CoCA",10,1.71945701357466
"CALI","2021Q3","CoNA",10,6.19909502262443
"CALI","2021Q4","CoCA",10,2
"CALI","2021Q4","CoNA",10,7.02325581395349
"CALI","2022Q1","CoCA",10,2.29681978798587
"CALI","2022Q1","CoNA",10,7.84452296819788
"CALI","2022Q2","CoCA",10,1.41379310344828
"CALI","2022Q2","CoNA",10,6.1419878296146
"CALI","2022Q3","CoCA",10,2.03571428571429
"CALI","2022Q3","CoNA",10,6.46428571428572
"CALI","2022Q4","CoCA",10,2.37037037037037
"CALI","2022Q4","CoNA",10,7.22222222222222
"CALI","2023Q1","CoCA",10,2.66187050359712
"CALI","2023Q1","CoNA",10,8.93423889047607
"CALI","2023Q2","CoCA",10,1.61870503597122
"CALI","2023Q2","CoNA",10,7.26618705035971
"CALI","2023Q3","CoCA",10,2.2962962962963
"CALI","2023Q3","CoNA",10,8.51851851851852
"CALI","2023Q4","CoCA",10,2.57692307692308
"CALI","2023Q4","CoNA",10,7.15384615384615
"CALI","2024Q1","CoCA",10,2.53676470588235
"CALI","2024Q1","CoNA",10,8.93382352941176
"CALI","2024Q2","CoCA",10,2.14814814814815
"CALI","2024Q2","CoNA",10,7.30441966129698
"CALI","2024Q3","CoCA",10,1.90839694656489
"CALI","2024Q3","CoNA",10,6.79389312977099
"CALI","2024Q4","CoCA",10,2.33201581027668
"CALI","2024Q4","CoNA",10,7.59724574941966
"MEDELLÍN","2018Q1","CoCA",10,1.33757961783439
"MEDELLÍN","2018Q1","CoNA",10,4.84076433121019
"MEDELLÍN","2018Q2","CoCA",10,1.15625
"MEDELLÍN","2018Q2","CoNA",10,4.09375
"MEDELLÍN","2018Q3","CoCA",10,1.32716049382716
"MEDELLÍN","2018Q3","CoNA",10,4.29012345679012
"MEDELLÍN","2018Q4","CoCA",10,1.39751552795031
"MEDELLÍN","2018Q4","CoNA",10,4.50310559006211
"MEDELLÍN","2019Q1","CoCA",10,1.56441717791411
"MEDELLÍN","2019Q1","CoNA",10,5.06134969325153
"MEDELLÍN","2019Q2","CoCA",10,1.86335403726708
"MEDELLÍN","2019Q2","CoNA",10,4.75155279503106
"MEDELLÍN","2019Q3","CoCA",10,1.14197530864198
"MEDELLÍN","2019Q3","CoNA",10,3.95061728395062
"MEDELLÍN","2019Q4","CoCA",10,1.05263157894737
"MEDELLÍN","2019Q4","CoNA",10,3.37461300309598
"MEDELLÍN","2020Q1","CoCA",10,2.00636942675159
"MEDELLÍN","2020Q1","CoNA",10,4.93630573248408
"MEDELLÍN","2020Q2","CoCA",10,7.34426229508197
"MEDELLÍN","2020Q2","CoNA",10,14.2295081967213
"MEDELLÍN","2020Q3","CoCA",10,4.22155688622754
"MEDELLÍN","2020Q3","CoNA",10,10.1197604790419
"MEDELLÍN","2020Q4","CoCA",10,1.46875
"MEDELLÍN","2020Q4","CoNA",10,5.3125
"MEDELLÍN","2021Q1","CoCA",10,2.08333333333333
"MEDELLÍN","2021Q1","CoNA",10,5.28846153846154
"MEDELLÍN","2021Q2","CoCA",10,2.125
"MEDELLÍN","2021Q2","CoNA",10,6.28125
"MEDELLÍN","2021Q3","CoCA",10,1.84615384615385
"MEDELLÍN","2021Q3","CoNA",10,5.6
"MEDELLÍN","2021Q4","CoCA",10,1.93650793650794
"MEDELLÍN","2021Q4","CoNA",10,6.09523809523809
"MEDELLÍN","2022Q1","CoCA",10,3.05466237942122
"MEDELLÍN","2022Q1","CoNA",10,8.39228295819936
"MEDELLÍN","2022Q3","CoCA",10,2.60586319218241
"MEDELLÍN","2022Q3","CoNA",10,8.43648208469055
"MEDELLÍN","2022Q4","CoCA",10,1.93220338983051
"MEDELLÍN","2022Q4","CoNA",10,6.98305084745763
"MEDELLÍN","2023Q1","CoCA",10,3.75816993464052
"MEDELLÍN","2023Q1","CoNA",10,9.64116575591986
"MEDELLÍN","2023Q2","CoCA",10,2.8135593220339
"MEDELLÍN","2023Q2","CoNA",10,8.06779661016949
"MEDELLÍN","2023Q3","CoCA",10,1.51815181518152
"MEDELLÍN","2023Q3","CoNA",10,5.31353135313531
"MEDELLÍN","2023Q4","CoCA",10,2.35690235690236
"MEDELLÍN","2023Q4","CoNA",10,6.83501683501683
"MEDELLÍN","2024Q1","CoCA",10,2.28476821192053
"MEDELLÍN","2024Q1","CoNA",10,6.46146399419155
"MEDELLÍN","2024Q2","CoCA",10,1.75496688741722
"MEDELLÍN","2024Q2","CoNA",10,6.9205298013245
"MEDELLÍN","2024Q3","CoCA",10,1.29568106312292
"MEDELLÍN","2024Q3","CoNA",10,5.34883720930233
"MEDELLÍN","2024Q4","CoCA",10,0.848056537102474
"MEDELLÍN","2024Q4","CoNA",10,3.92226148409894
